transaction_id,customer_id,account_id,date,transaction_type,amount,merchant,payment_mode,status
T000049,C07836,A17619,2026-01-25,Debit,245,MakeMyTrip,UPI,Success
T000050,C05925,A14363,2026-03-30,Debit,1084,Amazon,UPI,Success
T000051,C05216,A19774,2026-05-23,Credit,30034,Bank Refund,UPI,Success
T000052,C08719,A16528,2026-07-21,Debit,967,D-Mart,Credit Card,Success
T000053,C02410,A18522,2026-04-19,Debit,4954,Swiggy,UPI,Success
T000054,C09091,A18267,2026-07-25,Debit,2709,Swiggy,UPI,Success
T000055,C01399,A19540,2026-02-06,Debit,789,Flipkart,UPI,Pending
T000056,C02778,A17840,2026-02-06,Debit,441,Swiggy,UPI,Success
T000057,C02132,A13431,2026-07-01,Credit,40491,Interest Credit,Credit Card,Success
T000058,C05261,A15178,2026-07-16,Credit,42123,Interest Credit,Credit Card,Success
T000059,C06452,A18370,2026-01-12,Debit,1264,Netflix,Debit Card,Success
T000060,C00605,A15541,2026-07-08,Debit,3644,Airtel,UPI,Success
T000061,C07613,A16601,2026-06-29,Debit,1570,Amazon,UPI,Success
T000062,C05989,A11918,2026-02-25,Credit,51943,Dividend,UPI,Success
T000063,C04064,A11969,2026-01-11,Debit,4019,Electricity Board,UPI,Success
T000064,C02337,A12129,2026-06-06,Debit,937,Flipkart,UPI,Success
T000065,C03180,A13050,2026-04-27,Debit,3930,D-Mart,Credit Card,Success
T000066,C04665,A14975,2026-02-06,Debit,2243,Zomato,Debit Card,Success
T000067,C08562,A13337,2026-04-25,Debit,678,MakeMyTrip,Debit Card,Success
T000068,C08041,A17583,2026-02-07,Debit,4062,Uber,UPI,Success
T000069,C04140,A16582,2026-04-06,Debit,2375,MakeMyTrip,Credit Card,Success
T000070,C07050,A13381,2026-07-07,Debit,4224,Zomato,Debit Card,Success
T000071,C06221,A17170,2026-01-01,Credit,42827,Interest Credit,UPI,Success
T000072,C03510,A15240,2026-05-23,Debit,3865,MakeMyTrip,UPI,Success
T000073,C05516,A11376,2026-02-15,Debit,2631,D-Mart,UPI,Success
T000074,C07650,A10262,2026-06-20,Debit,2045,D-Mart,Debit Card,Success
T000075,C06973,A18408,2026-03-22,Debit,866,D-Mart,UPI,Success
T000076,C07214,A17724,2026-04-07,Debit,1467,D-Mart,Credit Card,Success
T000077,C09432,A19651,2026-03-26,Debit,601,Uber,UPI,Pending
T000078,C01168,A10226,2026-01-24,Credit,19381,Bank Refund,UPI,Success
T000079,C03297,A11486,2026-03-18,Credit,51796,Dividend,UPI,Success
T000080,C03832,A19204,2026-04-04,Debit,2872,Netflix,Bank Transfer,Success
T000081,C08961,A14384,2026-05-21,Debit,1799,Amazon,UPI,Success
T000082,C00318,A17825,2026-03-17,Debit,4037,MakeMyTrip,Net Banking,Success
T000083,C08768,A16696,2026-03-09,Credit,32490,Salary,Net Banking,Failed
T000084,C09965,A14191,2026-02-06,Credit,8070,Bank Refund,Bank Transfer,Success
T000085,C05228,A14563,2026-02-25,Debit,210,Zomato,Bank Transfer,Success
T000086,C01961,A17495,2026-04-06,Credit,36774,Interest Credit,Credit Card,Success
T000087,C02274,A17882,2026-04-25,Debit,3294,D-Mart,UPI,Success
T000088,C07748,A17525,2026-07-26,Debit,2947,Netflix,Debit Card,Success
T000089,C07496,A11544,2026-06-03,Debit,532,Uber,UPI,Success
T000090,C02184,A12500,2026-07-03,Debit,4251,Swiggy,Bank Transfer,Success
T000091,C02733,A19580,2026-07-21,Debit,3536,MakeMyTrip,Bank Transfer,Success
T000092,C08361,A10458,2026-07-08,Debit,379,Flipkart,UPI,Success
T000093,C06847,A18622,2026-03-17,Debit,2291,Airtel,UPI,Success
T000094,C08446,A19206,2026-03-13,Debit,313,Zomato,UPI,Success
T000095,C06157,A19004,2026-01-24,Debit,4554,Netflix,UPI,Success
T000096,C06085,A12754,2026-05-23,Debit,2376,Zomato,Debit Card,Success
T000097,C09440,A12277,2026-06-27,Debit,1308,Electricity Board,Bank Transfer,Success
T000098,C04029,A16944,2026-07-12,Credit,13825,Dividend,Debit Card,Success
T000099,C07608,A12457,2026-01-20,Debit,3868,Electricity Board,UPI,Success
T000100,C08171,A12181,2026-03-19,Debit,3908,Netflix,Debit Card,Success
T000101,C04361,A10789,2026-06-25,Debit,3762,MakeMyTrip,UPI,Failed
T000102,C03052,A18438,2026-06-29,Credit,25293,Bank Refund,Credit Card,Success
T000103,C09777,A13122,2026-04-30,Credit,15011,Bank Refund,Debit Card,Success
T000104,C07688,A19790,2026-03-27,Debit,2538,Netflix,UPI,Success
T000105,C01706,A13627,2026-06-25,Debit,4003,D-Mart,UPI,Success
T000106,C01648,A19787,2026-07-09,Credit,95373,Cashback,Credit Card,Success
T000107,C00608,A12633,2026-04-15,Debit,870,Airtel,UPI,Failed
T000108,C08079,A12438,2026-07-26,Debit,1879,D-Mart,Credit Card,Success
T000109,C00402,A15120,2026-06-02,Debit,932,Swiggy,UPI,Success
T000110,C08883,A11425,2026-03-21,Credit,16037,Interest Credit,Debit Card,Success
T000111,C04331,A17226,2026-01-26,Debit,1779,Flipkart,Credit Card,Success
T000112,C00292,A19135,2026-06-06,Credit,48892,Bank Refund,Bank Transfer,Success
T000113,C04924,A14109,2026-06-28,Debit,2007,Uber,Debit Card,Success
T000114,C00559,A16623,2026-02-04,Debit,534,Netflix,UPI,Success
T000115,C03717,A11217,2026-02-02,Debit,2429,Amazon,Debit Card,Failed
T000116,C00643,A15829,2026-01-13,Debit,2867,Swiggy,Debit Card,Success
T000117,C04508,A13825,2026-03-16,Credit,63224,Bank Refund,Credit Card,Success
T000118,C05768,A13627,2026-05-01,Debit,2002,Swiggy,Bank Transfer,Success
T000119,C02005,A12523,2026-01-21,Credit,14365,Salary,Credit Card,Success
T000120,C01272,A12699,2026-01-29,Debit,1205,Electricity Board,UPI,Success
T000121,C02713,A12179,2026-01-18,Debit,1102,Amazon,UPI,Success
T000122,C09983,A11769,2026-05-24,Debit,1545,Flipkart,Credit Card,Success
T000123,C05159,A19249,2026-05-07,Debit,2626,Flipkart,Net Banking,Success
T000124,C04153,A10808,2026-05-21,Credit,20981,Salary,Credit Card,Success
T000125,C00510,A11595,2026-06-06,Debit,2246,Swiggy,Credit Card,Success
T000126,C02434,A19633,2026-06-06,Debit,2996,Amazon,Bank Transfer,Success
T000127,C07343,A12940,2026-06-30,Debit,799,Swiggy,UPI,Success
T000128,C03976,A14441,2026-06-16,Debit,3396,Flipkart,UPI,Success
T000129,C05525,A16445,2026-03-14,Credit,8480,Cashback,UPI,Success
T000130,C00344,A18180,2026-07-09,Credit,37221,Cashback,UPI,Success
T000131,C04203,A11953,2026-06-11,Debit,3798,Electricity Board,Debit Card,Success
T000132,C09278,A15382,2026-05-06,Debit,4378,Airtel,Debit Card,Success
T000133,C06600,A16876,2026-05-08,Debit,4106,Airtel,UPI,Success
T000134,C09864,A13463,2026-02-08,Debit,4541,Uber,UPI,Success
T000135,C03187,A18583,2026-05-12,Debit,1228,Electricity Board,Net Banking,Success
T000136,C06868,A12570,2026-04-18,Debit,3498,MakeMyTrip,Net Banking,Failed
T000137,C06874,A14483,2026-04-14,Debit,155,MakeMyTrip,UPI,Failed
T000138,C01284,A15090,2026-07-14,Debit,3297,Electricity Board,UPI,Success
T000139,C05197,A16589,2026-07-05,Debit,960,Amazon,UPI,Success
T000140,C05477,A11609,2026-01-02,Debit,1196,D-Mart,Debit Card,Success
T000141,C04717,A12960,2026-07-24,Debit,482,Flipkart,Debit Card,Success
T000142,C04801,A10278,2026-06-29,Debit,1109,Amazon,UPI,Pending
T000143,C07259,A15642,2026-03-30,Credit,48071,Dividend,Debit Card,Success
T000144,C00786,A19728,2026-03-05,Debit,411,Swiggy,UPI,Success
T000145,C05479,A13815,2026-03-30,Debit,645,Amazon,Debit Card,Success
T000146,C05871,A18201,2026-05-24,Debit,1318,Airtel,Credit Card,Success
T000147,C08035,A16907,2026-04-01,Debit,1320,D-Mart,Debit Card,Success
T000148,C07993,A10703,2026-03-01,Debit,1781,Zomato,UPI,Failed
T000149,C05377,A16532,2026-05-06,Debit,1452,Zomato,UPI,Success
T000150,C00905,A16973,2026-03-06,Credit,6545,Bank Refund,UPI,Success
T000151,C04183,A19015,2026-01-07,Debit,1646,MakeMyTrip,Debit Card,Success
T000152,C08170,A15563,2026-06-14,Debit,4403,Uber,UPI,Pending
T000153,C03663,A10249,2026-04-17,Debit,2222,D-Mart,UPI,Success
T000154,C07017,A18777,2026-01-06,Debit,4516,Netflix,Debit Card,Success
T000155,C02246,A10298,2026-02-07,Debit,2993,MakeMyTrip,Bank Transfer,Success
T000156,C00519,A11674,2026-01-22,Debit,3489,Swiggy,Credit Card,Success
T000157,C09585,A17903,2026-07-08,Debit,2898,Amazon,Credit Card,Success
T000158,C06147,A14732,2026-03-08,Debit,4985,Swiggy,Credit Card,Success
T000159,C08790,A14271,2026-03-08,Debit,1303,Uber,Debit Card,Success
T000160,C00910,A15109,2026-03-27,Debit,4059,D-Mart,UPI,Success
T000161,C08830,A13289,2026-05-28,Debit,2100,Netflix,Net Banking,Success
T000162,C00848,A12886,2026-01-13,Debit,4848,Flipkart,UPI,Success
T000163,C06114,A14651,2026-05-29,Debit,1530,Zomato,UPI,Success
T000164,C02866,A12124,2026-06-15,Debit,4164,Zomato,UPI,Pending
T000165,C02187,A14755,2026-03-16,Debit,813,Netflix,UPI,Success
T000166,C02835,A13201,2026-01-23,Debit,2466,MakeMyTrip,Bank Transfer,Success
T000167,C02917,A17549,2026-07-15,Debit,2335,Airtel,Bank Transfer,Failed
T000168,C04849,A16068,2026-03-24,Credit,4391,Dividend,Credit Card,Success
T000169,C08207,A10641,2026-06-09,Debit,1878,Electricity Board,Credit Card,Success
T000170,C00955,A18160,2026-01-31,Credit,88705,Interest Credit,UPI,Success
T000171,C00514,A16383,2026-05-16,Debit,205,D-Mart,UPI,Success
T000172,C02023,A19570,2026-01-07,Debit,654,Amazon,Debit Card,Success
T000173,C00214,A18962,2026-04-25,Debit,2919,Flipkart,UPI,Success
T000174,C02173,A10655,2026-02-28,Debit,732,D-Mart,UPI,Success
T000175,C01128,A16554,2026-07-20,Debit,2142,Zomato,UPI,Success
T000176,C05160,A17880,2026-01-04,Debit,956,Swiggy,UPI,Success
T000177,C00318,A13160,2026-02-27,Credit,60998,Interest Credit,UPI,Success
T000178,C01069,A12564,2026-05-11,Debit,4432,Electricity Board,Bank Transfer,Success
T000179,C08426,A16015,2026-04-11,Debit,4074,Zomato,Credit Card,Success
T000180,C06294,A11682,2026-01-17,Debit,1355,Airtel,UPI,Success
T000181,C00175,A15762,2026-05-05,Credit,13875,Interest Credit,Debit Card,Pending
T000182,C01486,A10479,2026-03-01,Debit,4073,Zomato,UPI,Success
T000183,C04054,A11550,2026-02-21,Debit,2043,MakeMyTrip,UPI,Success
T000184,C08649,A19952,2026-07-10,Debit,3953,Netflix,Debit Card,Success
T000185,C02377,A14102,2026-07-13,Credit,71809,Interest Credit,UPI,Success
T000186,C03971,A17303,2026-02-22,Debit,4770,D-Mart,Bank Transfer,Success
T000187,C05855,A16124,2026-03-19,Debit,2096,D-Mart,Credit Card,Success
T000188,C04881,A10819,2026-03-13,Debit,2524,MakeMyTrip,UPI,Success
T000189,C06993,A13687,2026-06-10,Debit,777,Zomato,UPI,Success
T000190,C03031,A18272,2026-07-10,Debit,263,Electricity Board,Credit Card,Success
T000191,C08057,A13269,2026-04-09,Debit,4690,Swiggy,Bank Transfer,Success
T000192,C07804,A15033,2026-04-26,Debit,2566,MakeMyTrip,UPI,Success
T000193,C04622,A18193,2026-05-08,Credit,54921,Cashback,Bank Transfer,Success
T000194,C09866,A19150,2026-02-03,Debit,3983,Airtel,Debit Card,Failed
T000195,C06861,A18140,2026-03-10,Debit,572,Uber,UPI,Success
T000196,C05607,A16048,2026-03-17,Debit,251,Netflix,UPI,Success
T000197,C08180,A15039,2026-06-25,Credit,23632,Salary,Bank Transfer,Success
T000198,C09172,A14655,2026-05-26,Credit,35203,Dividend,UPI,Success
T000199,C04088,A19938,2026-03-14,Debit,1161,D-Mart,UPI,Success
T000200,C09149,A11497,2026-03-27,Debit,2122,MakeMyTrip,UPI,Success
T000201,C01767,A16896,2026-02-28,Debit,350,Flipkart,UPI,Success
T000202,C09271,A10622,2026-04-14,Debit,1965,Airtel,UPI,Success
T000203,C06575,A14206,2026-06-27,Debit,3430,Flipkart,UPI,Success
T000204,C03352,A11103,2026-02-02,Debit,2612,D-Mart,Debit Card,Success
T000205,C05304,A16805,2026-02-05,Credit,38421,Salary,UPI,Success
T000206,C02452,A15763,2026-06-07,Debit,2580,D-Mart,UPI,Success
T000207,C04740,A14209,2026-02-27,Debit,2437,Swiggy,UPI,Success
T000208,C03237,A15112,2026-04-12,Credit,76037,Dividend,Credit Card,Success
T000209,C05582,A13398,2026-07-15,Credit,78527,Bank Refund,Debit Card,Success
T000210,C06676,A13629,2026-07-04,Debit,2670,Airtel,Debit Card,Success
T000211,C03163,A15511,2026-03-11,Debit,3044,MakeMyTrip,Debit Card,Success
T000212,C02650,A10801,2026-05-10,Debit,1915,Flipkart,Net Banking,Success
T000213,C03903,A13671,2026-07-02,Debit,2181,Airtel,Credit Card,Pending
T000214,C06373,A19491,2026-01-15,Debit,3979,Netflix,Debit Card,Success
T000215,C03460,A11735,2026-05-10,Debit,2052,Amazon,UPI,Success
T000216,C02728,A10391,2026-03-26,Debit,4122,Zomato,UPI,Success
T000217,C06287,A17835,2026-04-13,Debit,4428,Swiggy,Debit Card,Success
T000218,C07109,A13210,2026-06-02,Debit,1317,Electricity Board,Debit Card,Success
T000219,C02821,A10071,2026-05-23,Debit,4902,Airtel,Credit Card,Success
T000220,C05405,A14792,2026-01-11,Credit,94936,Salary,UPI,Success
T000221,C00923,A15517,2026-05-12,Debit,2916,Electricity Board,UPI,Success
T000222,C05325,A15483,2026-01-07,Debit,3786,Swiggy,Credit Card,Success
T000223,C03840,A19710,2026-05-15,Debit,3663,MakeMyTrip,UPI,Success
T000224,C05879,A19701,2026-02-21,Debit,996,Uber,Debit Card,Success
T000225,C00605,A19628,2026-01-20,Debit,3605,Swiggy,UPI,Success
T000226,C07894,A14502,2026-01-24,Debit,1568,Uber,Bank Transfer,Success
T000227,C02349,A19864,2026-06-03,Debit,1922,Flipkart,Debit Card,Success
T000228,C03811,A11410,2026-06-08,Credit,42517,Interest Credit,Net Banking,Success
T000229,C05213,A12303,2026-01-28,Debit,916,Zomato,Debit Card,Success
T000230,C09639,A18358,2026-05-07,Debit,159,Airtel,Debit Card,Success
T000231,C00347,A16470,2026-05-21,Credit,60462,UPI Received,UPI,Success
T000232,C05404,A12565,2026-01-28,Credit,62182,UPI Received,Bank Transfer,Success
T000233,C00730,A18526,2026-02-23,Debit,919,Airtel,UPI,Success
T000234,C08553,A15559,2026-01-29,Debit,2857,Netflix,UPI,Success
T000235,C09184,A17791,2026-01-09,Credit,72353,Bank Refund,Debit Card,Pending
T000236,C06226,A10838,2026-02-03,Debit,754,Flipkart,Bank Transfer,Success
T000237,C06488,A10105,2026-03-26,Debit,3064,Flipkart,Credit Card,Success
T000238,C04877,A18953,2026-01-01,Debit,697,Flipkart,UPI,Success
T000239,C09037,A13712,2026-05-31,Debit,3654,Uber,UPI,Success
T000240,C03150,A19019,2026-01-22,Debit,2832,Zomato,UPI,Success
T000241,C04377,A17931,2026-03-17,Credit,69687,Bank Refund,UPI,Success
T000242,C07398,A12820,2026-05-07,Debit,1325,D-Mart,UPI,Success
T000243,C05874,A13473,2026-04-16,Debit,3702,Airtel,Bank Transfer,Success
T000244,C00065,A16346,2026-02-25,Debit,3352,Electricity Board,Credit Card,Success
T000245,C03553,A12124,2026-06-01,Debit,263,Swiggy,Credit Card,Success
T000246,C09566,A17651,2026-04-14,Debit,4494,Flipkart,Debit Card,Success
T000247,C01735,A13170,2026-04-11,Debit,4902,Amazon,UPI,Pending
T000248,C00535,A12085,2026-04-30,Debit,2360,Zomato,Bank Transfer,Success
T000249,C00700,A11320,2026-03-06,Debit,4017,D-Mart,UPI,Success
T000250,C09871,A17076,2026-02-03,Debit,3448,Flipkart,UPI,Success
T000251,C02447,A11516,2026-07-16,Debit,4129,Netflix,UPI,Success
T000252,C00386,A18020,2026-04-30,Debit,2645,Uber,Net Banking,Failed
T000253,C07613,A13225,2026-04-05,Debit,120,Zomato,Bank Transfer,Success
T000254,C09308,A18120,2026-07-17,Debit,791,Airtel,UPI,Success
T000255,C07002,A12109,2026-04-23,Debit,2174,Zomato,Net Banking,Success
T000256,C04648,A17529,2026-03-06,Debit,2094,Zomato,UPI,Success
T000257,C05392,A10408,2026-05-21,Credit,30262,Salary,UPI,Failed
T000258,C01098,A12733,2026-04-14,Debit,440,Zomato,Credit Card,Success
T000259,C06418,A18921,2026-02-26,Debit,1713,Airtel,Credit Card,Success
T000260,C00559,A12962,2026-06-07,Debit,1861,Zomato,UPI,Success
T000261,C02049,A11013,2026-03-27,Credit,11162,Interest Credit,Debit Card,Success
T000262,C09679,A15123,2026-04-25,Debit,3694,Zomato,Debit Card,Success
T000263,C01408,A17653,2026-07-16,Debit,216,Amazon,UPI,Success
T000264,C00434,A13989,2026-01-16,Debit,4709,Swiggy,UPI,Success
T000265,C03985,A12607,2026-06-10,Debit,2966,Electricity Board,UPI,Success
T000266,C07586,A15617,2026-03-25,Credit,61293,UPI Received,Credit Card,Success
T000267,C08863,A10164,2026-05-12,Debit,3369,Netflix,Net Banking,Success
T000268,C09893,A16840,2026-07-23,Debit,1371,Swiggy,UPI,Success
T000269,C04621,A15910,2026-07-21,Debit,1396,Zomato,UPI,Success
T000270,C08722,A10504,2026-01-26,Debit,2147,Swiggy,UPI,Success
T000271,C09757,A10147,2026-04-21,Debit,1538,Uber,UPI,Success
T000272,C02348,A13481,2026-02-24,Debit,1520,Uber,UPI,Success
T000273,C09642,A13027,2026-02-02,Debit,3203,D-Mart,Debit Card,Success
T000274,C02387,A10582,2026-05-18,Debit,1933,Flipkart,UPI,Success
T000275,C04288,A10387,2026-03-28,Debit,3065,D-Mart,Credit Card,Success
T000276,C01151,A12021,2026-03-13,Debit,1108,D-Mart,Debit Card,Success
T000277,C00427,A18335,2026-01-23,Credit,42008,Dividend,Credit Card,Success
T000278,C03337,A18280,2026-02-25,Debit,4038,Swiggy,Bank Transfer,Success
T000279,C06251,A19952,2026-03-01,Debit,1866,Flipkart,UPI,Success
T000280,C01025,A16934,2026-03-26,Credit,22324,Dividend,UPI,Success
T000281,C00633,A11798,2026-02-13,Debit,51,MakeMyTrip,Debit Card,Success
T000282,C01170,A12955,2026-04-28,Debit,2983,Swiggy,UPI,Success
T000283,C00965,A13993,2026-07-23,Debit,1309,D-Mart,UPI,Success
T000284,C02829,A13676,2026-06-20,Credit,25978,Salary,Net Banking,Success
T000285,C00197,A19813,2026-07-25,Debit,2550,Flipkart,UPI,Success
T000286,C08556,A11924,2026-01-24,Debit,3213,Netflix,Credit Card,Success
T000287,C09221,A12738,2026-01-16,Debit,1325,Electricity Board,UPI,Success
T000288,C06622,A17603,2026-01-13,Credit,43688,Interest Credit,Bank Transfer,Success
T000289,C08604,A18399,2026-01-17,Debit,4102,Electricity Board,Credit Card,Success
T000290,C02887,A10602,2026-04-09,Debit,863,D-Mart,UPI,Success
T000291,C00128,A12018,2026-04-05,Debit,2819,Flipkart,Credit Card,Success
T000292,C08076,A11927,2026-02-15,Debit,2703,Uber,Bank Transfer,Success
T000293,C03634,A18864,2026-07-05,Debit,1588,Netflix,UPI,Success
T000294,C01230,A11436,2026-04-15,Debit,2633,Uber,Net Banking,Success
T000295,C07634,A13394,2026-03-12,Debit,3513,Uber,Debit Card,Success
T000296,C09980,A18390,2026-05-12,Debit,2445,Amazon,UPI,Success
T000297,C05465,A18030,2026-04-17,Debit,1808,Zomato,UPI,Success
T000298,C02434,A12227,2026-07-13,Debit,1867,MakeMyTrip,Debit Card,Success
T000299,C01422,A13262,2026-04-29,Debit,3850,Swiggy,Net Banking,Success
T000300,C06042,A18377,2026-07-03,Debit,465,Zomato,Bank Transfer,Success
T000301,C07142,A16501,2026-06-22,Credit,14705,Interest Credit,Credit Card,Success
T000302,C03142,A19281,2026-02-23,Credit,27473,Salary,UPI,Success
T000303,C05199,A15420,2026-03-01,Debit,709,Electricity Board,Credit Card,Success
T000304,C06473,A13047,2026-04-28,Credit,96056,Salary,Debit Card,Success
T000305,C05260,A16394,2026-04-05,Debit,4214,Uber,UPI,Success
T000306,C02117,A12923,2026-07-15,Debit,4053,Airtel,UPI,Success
T000307,C08994,A19974,2026-03-05,Debit,2773,Netflix,Debit Card,Success
T000308,C04664,A18464,2026-02-11,Debit,3142,MakeMyTrip,Debit Card,Success
T000309,C09609,A19527,2026-04-04,Credit,84912,Cashback,Bank Transfer,Success
T000310,C09611,A19589,2026-03-21,Debit,498,MakeMyTrip,UPI,Pending
T000311,C04079,A16730,2026-01-21,Debit,3464,Airtel,UPI,Success
T000312,C07466,A17526,2026-06-07,Debit,4575,Amazon,UPI,Success
T000313,C08640,A16758,2026-07-10,Debit,2539,MakeMyTrip,Debit Card,Success
T000314,C07991,A19981,2026-02-15,Debit,2769,Airtel,UPI,Success
T000315,C07478,A19613,2026-06-29,Credit,56059,Dividend,Bank Transfer,Success
T000316,C08961,A15856,2026-06-10,Credit,55693,Salary,Bank Transfer,Failed
T000317,C00310,A13364,2026-04-30,Debit,3336,Flipkart,Bank Transfer,Success
T000318,C08235,A17624,2026-02-09,Debit,1667,MakeMyTrip,Credit Card,Success
T000319,C07257,A12115,2026-05-11,Debit,4259,D-Mart,UPI,Success
T000320,C06502,A19282,2026-05-12,Debit,4003,Zomato,UPI,Success
T000321,C00635,A14800,2026-03-14,Debit,3063,Airtel,Net Banking,Success
T000322,C04387,A19568,2026-04-23,Debit,879,D-Mart,UPI,Success
T000323,C02334,A16096,2026-03-29,Debit,555,Flipkart,Debit Card,Success
T000324,C06828,A12514,2026-06-11,Debit,4943,Uber,UPI,Success
T000325,C06894,A15825,2026-07-11,Debit,3785,Amazon,UPI,Success
T000326,C08893,A11601,2026-04-29,Credit,30648,Salary,UPI,Success
T000327,C04524,A18840,2026-01-26,Debit,4134,Zomato,Bank Transfer,Success
T000328,C00045,A12864,2026-02-09,Debit,4478,MakeMyTrip,Debit Card,Success
T000329,C07183,A19344,2026-04-30,Debit,3095,D-Mart,UPI,Success
T000330,C09107,A15164,2026-03-01,Debit,3780,MakeMyTrip,UPI,Success
T000331,C06263,A10999,2026-04-08,Debit,4137,Uber,Credit Card,Success
T000332,C06440,A18021,2026-01-19,Credit,54678,Salary,UPI,Success
T000333,C03238,A12993,2026-01-16,Debit,4417,Netflix,UPI,Success
T000334,C05987,A10955,2026-04-01,Debit,3787,Netflix,Debit Card,Success
T000335,C05458,A17456,2026-05-01,Debit,180,Airtel,Net Banking,Success
T000336,C01127,A13808,2026-02-10,Debit,4416,D-Mart,UPI,Success
T000337,C04809,A17223,2026-02-27,Credit,89637,Bank Refund,UPI,Success
T000338,C02725,A19106,2026-02-01,Credit,94923,Dividend,Credit Card,Success
T000339,C06020,A15475,2026-05-11,Debit,3314,D-Mart,UPI,Success
T000340,C09108,A15404,2026-01-12,Debit,1671,Amazon,Credit Card,Success
T000341,C04980,A14549,2026-01-20,Debit,270,Swiggy,Credit Card,Success
T000342,C01484,A18453,2026-07-01,Debit,4168,Netflix,UPI,Success
T000343,C03075,A13211,2026-05-05,Debit,3178,Amazon,Net Banking,Success
T000344,C03126,A17531,2026-02-03,Debit,249,Swiggy,UPI,Success
T000345,C09613,A12646,2026-03-17,Debit,901,Airtel,Bank Transfer,Success
T000346,C09830,A19087,2026-05-25,Credit,82727,Cashback,UPI,Success
T000347,C06390,A18513,2026-06-26,Debit,1010,Airtel,Credit Card,Failed
T000348,C04357,A16112,2026-05-28,Debit,2402,MakeMyTrip,Credit Card,Success
