branch_id,branch_name,city,state,region,employees
B056,Chandigarh Expressway,Chandigarh,Punjab,North,80
B057,Dehradun Industrial Estate,Dehradun,Uttarakhand,North,167
B058,Thiruvananthapuram West,Thiruvananthapuram,Kerala,South,34
B059,Vadodara East,Vadodara,Gujarat,West,118
B060,Jamshedpur West,Jamshedpur,Jharkhand,East,133
B061,Lucknow Expressway,Lucknow,Uttar Pradesh,North,43
B062,Gwalior South,Gwalior,Madhya Pradesh,Central,162
B063,Thane South,Thane,Maharashtra,West,67
B064,Ranchi Central,Ranchi,Jharkhand,East,67
B065,Visakhapatnam Central,Visakhapatnam,Andhra Pradesh,South,124
B066,Pune City Center,Pune,Maharashtra,West,200
B067,Mysuru Expressway,Mysuru,Karnataka,South,201
B068,Jamshedpur West,Jamshedpur,Jharkhand,East,161
B069,Ranchi Expressway,Ranchi,Jharkhand,East,170
B070,Mangaluru North,Mangaluru,Karnataka,South,147
B071,Udaipur Tech Park,Udaipur,Rajasthan,North,111
B072,Kochi Expressway,Kochi,Kerala,South,107
B073,Gwalior East,Gwalior,Madhya Pradesh,Central,91
B074,Agra South,Agra,Uttar Pradesh,North,146
B075,Kochi Metro,Kochi,Kerala,South,40
B076,Coimbatore Main,Coimbatore,Tamil Nadu,South,178
B077,Visakhapatnam Bypass,Visakhapatnam,Andhra Pradesh,South,142
B078,Gurugram Expressway,Gurugram,Haryana,North,43
B079,Hyderabad Tech Park,Hyderabad,Telangana,South,211
B080,Mangaluru Main,Mangaluru,Karnataka,South,149
B081,Bhubaneswar Main,Bhubaneswar,Odisha,East,33
B082,Kanpur City Center,Kanpur,Uttar Pradesh,North,200
B083,Hyderabad Metro,Hyderabad,Telangana,South,187
B084,Rajkot City Center,Rajkot,Gujarat,West,192
B085,Nashik Main,Nashik,Maharashtra,West,207
B086,Hyderabad Industrial Estate,Hyderabad,Telangana,South,193
B087,Surat Bypass,Surat,Gujarat,West,52
B088,Bhubaneswar Metro,Bhubaneswar,Odisha,East,145
B089,Visakhapatnam Tech Park,Visakhapatnam,Andhra Pradesh,South,216
B090,Thane North,Thane,Maharashtra,West,150
B091,Bhopal Hub,Bhopal,Madhya Pradesh,Central,57
B092,Madurai Main,Madurai,Tamil Nadu,South,91
B093,Vijayawada South,Vijayawada,Andhra Pradesh,South,194
B094,Bhilai Tech Park,Bhilai,Chhattisgarh,Central,54
B095,Chennai Bypass,Chennai,Tamil Nadu,South,79
B096,Patna North,Patna,Bihar,East,74
B097,Indore Industrial Estate,Indore,Madhya Pradesh,Central,200
B098,Gwalior South,Gwalior,Madhya Pradesh,Central,144
B099,Vadodara Main,Vadodara,Gujarat,West,78
B100,Jaipur Bypass,Jaipur,Rajasthan,North,204
