loan_id,customer_id,loan_type,loan_amount,interest_rate,emi,credit_score,loan_status,default_flag,remaining_balance
L00130,C08756,Home Loan,425000,0.0632,2636,776,Active,No,273000
L00131,C21501,Home Loan,225000,0.06280000000000001,1649,725,Active,No,115400
L00132,C12384,Education Loan,48000,0.0679,1145,778,Active,No,29500
L00133,C18142,Personal Loan,24000,0.1166,628,719,Active,No,4900
L00134,C14821,Car Loan,52000,0.094,1304,632,Active,No,12400
L00135,C07575,Car Loan,34000,0.0859,606,731,Active,No,24100
L00136,C06375,Car Loan,18000,0.0909,325,695,Active,No,1500
L00137,C01679,Home Loan,100000,0.0815,846,618,Active,No,22400
L00138,C19627,Home Loan,175000,0.045,1339,797,Closed,No,0
L00139,C21021,Personal Loan,10000,0.1233,265,685,Active,No,1100
L00140,C01060,Personal Loan,5000,0.1313,238,594,Active,No,3400
L00141,C16199,Business Loan,35000,0.1218,621,608,Active,No,21100
L00142,C09915,Education Loan,22000,0.066,251,735,Active,No,18500
L00143,C19542,Personal Loan,19000,0.0947,399,779,Active,No,14700
L00144,C10818,Education Loan,28000,0.077,564,730,Active,No,9900
L00145,C10922,Home Loan,100000,0.07150000000000001,907,731,Closed,No,0
L00146,C09790,Car Loan,38000,0.0941,693,621,Active,No,14400
L00147,C16313,Home Loan,125000,0.0679,1109,697,Closed,No,0
L00148,C11253,Car Loan,64000,0.0942,1342,661,Closed,No,0
L00149,C02694,Personal Loan,22000,0.1267,497,673,Closed,No,0
L00150,C13932,Home Loan,225000,0.075,1663,680,Closed,No,0
L00151,C03628,Home Loan,150000,0.0775,1133,633,Active,No,17700
L00152,C16158,Personal Loan,24000,0.108,618,753,Active,No,6300
L00153,C10174,Car Loan,42000,0.1075,1370,604,Active,No,24100
L00154,C21835,Home Loan,400000,0.0902,4062,579,Active,No,177800
L00155,C18048,Car Loan,46000,0.0897,1144,623,Active,No,15100
L00156,C10231,Car Loan,60000,0.0823,1887,765,Closed,No,0
L00157,C15708,Car Loan,48000,0.0771,1498,718,Active,No,2700
L00158,C21977,Car Loan,46000,0.1094,1188,538,Active,No,40400
L00159,C11495,Home Loan,100000,0.0681,653,740,Active,No,10900
L00160,C01307,Personal Loan,15000,0.118,1331,685,Closed,No,0
L00161,C06777,Business Loan,60000,0.1134,1974,654,Active,No,28400
L00162,C09475,Car Loan,28000,0.0885,888,669,Closed,No,0
L00163,C07527,Car Loan,16000,0.1098,524,576,Active,No,5800
L00164,C21960,Car Loan,52000,0.0824,1635,704,Active,No,5400
L00165,C05531,Home Loan,425000,0.0909,3447,582,Active,No,53300
L00166,C20798,Car Loan,58000,0.1006,1873,660,Active,No,4800
L00167,C03749,Business Loan,130000,0.1143,2854,660,Active,No,105700
L00168,C13546,Home Loan,475000,0.0713,3397,755,Active,No,208000
L00169,C00664,Education Loan,66000,0.0827,1347,693,Closed,No,0
L00170,C01999,Home Loan,200000,0.0662,1365,750,Closed,No,0
L00171,C07995,Personal Loan,14000,0.1352,379,588,Closed,No,0
L00172,C17880,Education Loan,28000,0.0866,350,680,Active,No,6200
L00173,C03305,Education Loan,70000,0.08109999999999999,1095,735,Active,No,61400
L00174,C20148,Education Loan,66000,0.0678,1300,795,Closed,No,0
L00175,C21617,Business Loan,120000,0.1253,2152,593,Active,No,85000
L00176,C18238,Personal Loan,5000,0.128,113,618,Active,No,2700
L00177,C13809,Car Loan,20000,0.0801,627,732,Closed,No,0
L00178,C06586,Personal Loan,9000,0.1014,416,826,Closed,No,0
L00179,C17676,Personal Loan,37000,0.1202,975,714,Active,No,3900
L00180,C19966,Personal Loan,36000,0.1279,1708,595,Active,No,27700
L00181,C11650,Car Loan,26000,0.1073,562,597,Closed,No,0
L00182,C01637,Personal Loan,28000,0.1249,1324,701,Closed,No,0
L00183,C20081,Education Loan,48000,0.081,585,720,Active,No,30900
L00184,C17083,Car Loan,32000,0.0828,565,671,Closed,No,0
L00185,C04738,Home Loan,125000,0.0908,1274,598,Closed,No,0
L00186,C14556,Car Loan,56000,0.073,1117,783,Closed,No,0
L00187,C13878,Personal Loan,16000,0.1182,1420,660,Active,No,5100
L00188,C00855,Personal Loan,9000,0.1099,196,734,Closed,No,0
L00189,C05856,Education Loan,14000,0.1105,240,539,Active,No,12300
L00190,C07393,Personal Loan,29000,0.1112,2565,792,Active,No,19200
L00191,C13950,Education Loan,18000,0.09380000000000001,232,631,Active,No,2300
L00192,C21634,Car Loan,12000,0.06150000000000001,366,804,Closed,No,0
L00193,C21557,Personal Loan,28000,0.1162,1313,742,Active,No,21000
L00194,C18092,Car Loan,48000,0.0974,883,568,Closed,No,0
L00195,C05792,Home Loan,275000,0.06860000000000001,1919,710,Active,No,165600
L00196,C21920,Home Loan,100000,0.0573,582,830,Active,No,44500
L00197,C04932,Home Loan,300000,0.0802,2513,639,Active,No,168600
L00198,C19895,Personal Loan,23000,0.1004,1062,830,Closed,No,0
L00199,C00203,Home Loan,425000,0.068,2950,722,Active,No,166500
L00200,C11448,Business Loan,230000,0.0901,3702,803,Active,No,38000
L00201,C20603,Personal Loan,39000,0.1215,1298,703,Closed,No,0
L00202,C12689,Car Loan,52000,0.0858,927,679,Active,No,6100
L00203,C04390,Home Loan,450000,0.05,2416,846,Active,No,384000
L00204,C02328,Home Loan,475000,0.0764,3554,751,Active,No,28100
L00205,C08005,Home Loan,275000,0.078,1980,669,Active,No,39400
L00206,C19316,Car Loan,42000,0.09119999999999999,760,726,Active,No,36900
L00207,C07778,Personal Loan,27000,0.1221,1274,641,Active,No,11100
L00208,C00198,Personal Loan,34000,0.1112,1115,699,Active,No,3500
L00209,C01931,Personal Loan,23000,0.1047,589,791,Closed,No,0
L00210,C11775,Car Loan,58000,0.0864,1035,676,Closed,No,0
L00211,C15088,Home Loan,475000,0.0801,4542,615,Closed,No,0
L00212,C09340,Car Loan,22000,0.1002,468,607,Active,No,12000
L00213,C20667,Personal Loan,12000,0.1206,399,696,Active,No,3300
L00214,C11590,Car Loan,60000,0.0946,1259,621,Active,No,5500
L00215,C18896,Home Loan,225000,0.0917,2049,568,Defaulted,Yes,207400
L00216,C15709,Personal Loan,17000,0.1296,808,588,Closed,No,0
L00217,C17044,Home Loan,325000,0.06269999999999999,2005,789,Closed,No,0
L00218,C02812,Business Loan,205000,0.112,3532,677,Active,No,150900
L00219,C14244,Personal Loan,21000,0.127,475,694,Active,No,18100
L00220,C06547,Business Loan,220000,0.1093,3759,607,Closed,No,0
L00221,C01987,Personal Loan,38000,0.1211,1003,640,Active,No,7500
L00222,C08339,Home Loan,225000,0.08220000000000001,1913,637,Active,No,173800
L00223,C11412,Personal Loan,8000,0.113,263,666,Active,Yes,5100
L00224,C02912,Home Loan,175000,0.08789999999999999,1551,549,Active,No,151000
L00225,C01735,Business Loan,130000,0.09210000000000002,2712,782,Active,No,100700
L00226,C18228,Education Loan,36000,0.08439999999999999,569,688,Active,No,11600
L00227,C08681,Car Loan,28000,0.08960000000000001,696,707,Active,No,21500
L00228,C19361,Car Loan,18000,0.081,316,767,Closed,No,0
L00229,C18344,Personal Loan,9000,0.1136,421,761,Closed,No,0
L00230,C05760,Business Loan,210000,0.1227,9912,641,Active,No,46500
L00231,C02386,Home Loan,250000,0.069,1751,741,Active,No,198600
L00232,C11112,Car Loan,64000,0.0675,1969,740,Closed,No,0
L00233,C04737,Personal Loan,6000,0.1119,280,716,Closed,No,0
L00234,C01803,Business Loan,140000,0.1007,4522,780,Closed,No,0
L00235,C08156,Education Loan,26000,0.0724,518,757,Active,No,3200
L00236,C08121,Business Loan,70000,0.1019,1169,751,Active,No,5800
L00237,C06617,Personal Loan,22000,0.1057,1940,806,Active,No,13100
L00238,C14258,Home Loan,125000,0.0711,977,692,Closed,No,0
L00239,C14487,Personal Loan,39000,0.1189,1834,694,Closed,No,0
L00240,C21919,Car Loan,40000,0.0833,817,759,Closed,No,0
L00241,C20446,Car Loan,40000,0.0889,993,674,Active,No,5300
L00242,C16647,Home Loan,325000,0.0594,2317,730,Closed,No,0
L00243,C14076,Personal Loan,22000,0.1289,1045,642,Active,No,14800
L00244,C09209,Home Loan,350000,0.1066,3532,496,Closed,No,0
L00245,C16372,Education Loan,10000,0.0781,155,740,Closed,No,0
L00246,C11836,Home Loan,100000,0.09119999999999999,847,558,Active,No,26500
L00247,C13169,Car Loan,62000,0.1007,1575,630,Active,No,30300
L00248,C02050,Home Loan,300000,0.0597,2144,759,Active,No,138000
L00249,C05424,Personal Loan,22000,0.0986,556,760,Closed,No,0
L00250,C14590,Business Loan,230000,0.0983,3798,789,Active,No,102800
L00251,C20933,Home Loan,175000,0.1016,1556,518,Active,Yes,79100
L00252,C19493,Home Loan,125000,0.0595,802,715,Active,No,85500
L00253,C07159,Home Loan,200000,0.0725,1581,668,Closed,No,0
L00254,C10249,Personal Loan,11000,0.1114,240,773,Active,No,7500
L00255,C07401,Car Loan,24000,0.064,402,815,Active,No,21100
L00256,C19555,Home Loan,125000,0.0857,1012,578,Active,No,38900
L00257,C09875,Car Loan,12000,0.0828,245,691,Defaulted,Yes,6400
L00258,C15152,Home Loan,175000,0.059,1117,760,Active,No,54200
L00259,C18640,Education Loan,70000,0.0926,1751,661,Active,No,45700
L00260,C01155,Education Loan,76000,0.0613,1789,838,Active,No,31600
L00261,C04500,Business Loan,220000,0.1178,7284,655,Closed,No,0
L00262,C06296,Business Loan,200000,0.1193,9408,664,Closed,No,0
L00263,C12184,Personal Loan,22000,0.132,503,598,Active,No,12100
L00264,C12875,Personal Loan,29000,0.1159,758,703,Active,No,7300
L00265,C18033,Car Loan,60000,0.1255,1190,433,Active,No,39700
L00266,C05540,Home Loan,425000,0.0735,3385,668,Active,No,352700
L00267,C09638,Home Loan,175000,0.0471,909,797,Active,No,67400
L00268,C20584,Home Loan,475000,0.09380000000000001,3953,571,Active,No,49900
L00269,C15587,Personal Loan,18000,0.1527,503,552,Closed,No,0
L00270,C02558,Personal Loan,18000,0.1063,462,784,Closed,No,0
L00271,C05593,Home Loan,100000,0.0533,557,796,Closed,No,0
L00272,C16483,Home Loan,500000,0.0944,4182,574,Closed,No,0
L00273,C02201,Car Loan,62000,0.0643,1040,837,Active,No,31500
L00274,C14173,Home Loan,500000,0.06509999999999999,3164,726,Active,Yes,340900
L00275,C02962,Business Loan,135000,0.0897,2800,779,Active,No,43600
L00276,C14208,Home Loan,400000,0.08689999999999999,3272,622,Active,No,247900
L00277,C21358,Car Loan,58000,0.0687,1385,816,Closed,No,0
L00278,C20818,Personal Loan,9000,0.1277,427,667,Active,No,1700
L00279,C11970,Home Loan,300000,0.0729,2378,663,Active,No,94000
L00280,C02870,Personal Loan,34000,0.1179,753,731,Active,No,2200
L00281,C17341,Personal Loan,39000,0.1207,869,656,Active,No,15100
L00282,C13993,Education Loan,30000,0.1069,408,560,Closed,No,0
L00283,C05700,Car Loan,30000,0.0882,951,701,Closed,No,0
L00284,C20878,Home Loan,275000,0.07150000000000001,1857,662,Active,No,197300
L00285,C21296,Home Loan,325000,0.0832,2458,624,Closed,No,0
L00286,C03988,Home Loan,100000,0.05309999999999999,807,795,Active,No,51400
L00287,C13447,Home Loan,250000,0.0595,1603,850,Active,No,69600
L00288,C01219,Personal Loan,31000,0.1339,838,611,Closed,No,0
L00289,C20881,Business Loan,195000,0.1057,4198,706,Closed,No,0
L00290,C04736,Personal Loan,25000,0.1186,1175,656,Active,No,6200
L00291,C11297,Car Loan,34000,0.0738,586,850,Active,No,15500
L00292,C04556,Car Loan,30000,0.0789,939,731,Active,No,26200
L00293,C09147,Education Loan,62000,0.0761,1502,768,Closed,No,0
L00294,C08051,Home Loan,400000,0.0535,2234,790,Active,No,62100
L00295,C12758,Car Loan,44000,0.08650000000000001,1392,701,Active,No,3800
L00296,C19831,Education Loan,54000,0.08990000000000001,869,674,Active,No,14200
L00297,C17430,Home Loan,475000,0.0506,3151,819,Active,No,368700
L00298,C06894,Home Loan,375000,0.0605,3175,756,Active,No,324200
L00299,C18078,Business Loan,115000,0.1144,5383,618,Active,No,46400
L00300,C14374,Car Loan,34000,0.0958,855,628,Active,No,23700
L00301,C14566,Home Loan,325000,0.0901,2926,656,Closed,No,0
L00302,C03437,Personal Loan,11000,0.1063,282,788,Active,No,8500
L00303,C08755,Personal Loan,6000,0.0962,126,815,Closed,No,0
L00304,C10678,Personal Loan,28000,0.0941,1284,850,Closed,No,0
L00305,C05896,Personal Loan,8000,0.1283,380,629,Active,No,1900
L00306,C19739,Home Loan,200000,0.065,1742,701,Closed,No,0
L00307,C16610,Car Loan,52000,0.0935,1303,655,Active,Yes,46400
L00308,C15637,Car Loan,38000,0.09300000000000001,794,674,Active,No,24100
L00309,C21278,Education Loan,14000,0.0698,211,769,Active,No,5600
L00310,C07023,Home Loan,150000,0.0621,1283,686,Closed,No,0
L00311,C09152,Education Loan,16000,0.06570000000000001,380,801,Active,No,14100
L00312,C05601,Home Loan,325000,0.0821,2554,646,Active,No,49600
L00313,C07997,Personal Loan,39000,0.1078,3443,753,Active,No,4100
L00314,C09008,Business Loan,45000,0.1096,2097,652,Active,No,20900
L00315,C12947,Personal Loan,10000,0.151,903,533,Closed,No,0
L00316,C04643,Home Loan,150000,0.09699999999999999,1584,603,Closed,No,0
L00317,C11313,Home Loan,200000,0.0724,1825,700,Closed,No,0
L00318,C07680,Personal Loan,17000,0.09390000000000001,544,850,Active,No,11900
L00319,C08209,Car Loan,22000,0.095,462,650,Closed,No,0
L00320,C18590,Business Loan,120000,0.112,2067,675,Active,No,19200
L00321,C10717,Car Loan,44000,0.0907,1096,731,Active,No,4400
L00322,C17454,Education Loan,14000,0.08779999999999999,176,639,Active,No,3600
L00323,C03445,Car Loan,28000,0.09720000000000001,900,648,Active,No,22300
L00324,C10758,Education Loan,14000,0.0875,289,696,Active,No,5900
L00325,C14435,Home Loan,250000,0.08810000000000001,2507,652,Closed,No,0
L00326,C01061,Business Loan,125000,0.1281,2261,538,Active,No,65000
L00327,C18712,Personal Loan,34000,0.1315,1619,634,Active,Yes,15200
L00328,C03421,Business Loan,65000,0.0989,1378,742,Closed,No,0
L00329,C00302,Home Loan,450000,0.066,2874,744,Closed,No,0
L00330,C12469,Car Loan,34000,0.0732,819,803,Active,No,7600
L00331,C16991,Car Loan,50000,0.0713,1200,796,Active,No,15800
L00332,C19555,Business Loan,85000,0.1182,1883,613,Closed,No,0
L00333,C00700,Car Loan,48000,0.1027,1555,626,Active,No,36100
L00334,C21473,Personal Loan,33000,0.1373,2959,630,Active,No,18100
L00335,C00191,Personal Loan,17000,0.1195,1510,677,Active,No,4700
L00336,C10493,Personal Loan,16000,0.1334,542,637,Closed,No,0
L00337,C17365,Home Loan,325000,0.0791,3089,675,Closed,No,0
L00338,C02976,Home Loan,350000,0.0795,2917,615,Active,No,115200
L00339,C06103,Home Loan,375000,0.0599,2684,756,Closed,No,0
L00340,C17569,Personal Loan,40000,0.128,3569,609,Active,No,23000
L00341,C19712,Business Loan,180000,0.1203,8476,605,Active,No,58600
L00342,C19779,Business Loan,200000,0.0949,4199,734,Active,No,163600
L00343,C01817,Home Loan,475000,0.0644,2984,751,Active,No,197900
L00344,C00570,Home Loan,325000,0.0909,2943,670,Active,No,16800
L00345,C05443,Home Loan,300000,0.0669,2270,763,Closed,No,0
L00346,C01896,Home Loan,200000,0.0557,1384,757,Active,No,121500
L00347,C19118,Home Loan,325000,0.0554,1853,850,Active,No,196000
L00348,C03864,Personal Loan,22000,0.1046,1020,752,Active,No,11700
L00349,C12914,Personal Loan,9000,0.1022,291,835,Closed,No,0
L00350,C07456,Personal Loan,6000,0.1207,158,695,Active,No,2500
L00351,C04015,Personal Loan,15000,0.1023,486,808,Closed,No,0
L00352,C11094,Home Loan,500000,0.047,2593,810,Active,No,398800
L00353,C18071,Car Loan,48000,0.0965,1209,677,Active,Yes,24900
L00354,C03010,Education Loan,80000,0.0925,1670,631,Active,No,6300
L00355,C16539,Home Loan,325000,0.0793,2493,646,Active,No,69100
L00356,C10730,Home Loan,500000,0.0703,3886,725,Closed,No,0
L00357,C01410,Home Loan,375000,0.092,3848,592,Active,No,202800
L00358,C12250,Home Loan,200000,0.0814,1487,651,Active,No,95500
L00359,C00785,Personal Loan,20000,0.1002,507,791,Active,Yes,17000
L00360,C08097,Home Loan,275000,0.0705,1839,746,Closed,No,0
L00361,C07561,Personal Loan,15000,0.1499,357,490,Active,No,10100
L00362,C12534,Home Loan,325000,0.09449999999999999,3384,576,Active,No,115000
L00363,C07344,Car Loan,60000,0.05889999999999999,991,850,Active,No,35300
L00364,C07207,Home Loan,425000,0.0663,3733,790,Closed,No,0
L00365,C21981,Personal Loan,19000,0.1309,641,640,Closed,No,0
L00366,C05802,Home Loan,425000,0.0926,4377,563,Closed,No,0
L00367,C19191,Home Loan,450000,0.095,4195,583,Active,No,220600
L00368,C16922,Education Loan,10000,0.077,154,733,Closed,No,0
L00369,C05987,Car Loan,28000,0.065,548,850,Active,No,3600
L00370,C18226,Home Loan,175000,0.045,887,850,Closed,No,0
L00371,C10648,Car Loan,24000,0.1094,785,556,Defaulted,Yes,16500
L00372,C08717,Car Loan,32000,0.09179999999999999,799,664,Active,No,16900
L00373,C19335,Personal Loan,39000,0.1288,1044,617,Active,No,9400
L00374,C12324,Personal Loan,27000,0.1144,1264,701,Active,No,12800
L00375,C04781,Education Loan,36000,0.1058,608,576,Closed,No,0
L00376,C02369,Home Loan,200000,0.0855,1742,643,Closed,No,0
L00377,C12040,Personal Loan,21000,0.1317,565,616,Active,No,16400
L00378,C06656,Home Loan,175000,0.0758,1418,734,Active,No,96500
L00379,C08174,Car Loan,58000,0.0919,1850,646,Active,No,41200
L00380,C04496,Business Loan,45000,0.112,2102,658,Closed,No,0
L00381,C10894,Education Loan,14000,0.07719999999999999,168,733,Active,No,9000
L00382,C13404,Car Loan,48000,0.0709,1151,829,Closed,No,0
L00383,C13122,Business Loan,110000,0.08070000000000001,4979,850,Closed,No,0
L00384,C10967,Car Loan,22000,0.08929999999999999,699,728,Active,No,16800
L00385,C00854,Car Loan,14000,0.0949,294,682,Active,No,7500
L00386,C20531,Business Loan,240000,0.0908,3871,801,Closed,No,0
L00387,C20154,Home Loan,500000,0.0558,3094,789,Active,No,272100
L00388,C16959,Car Loan,58000,0.0747,1161,764,Active,No,5600
L00389,C17533,Car Loan,58000,0.1048,1089,555,Active,Yes,39700
L00390,C09908,Business Loan,75000,0.0876,1548,792,Active,No,65200
L00391,C04778,Education Loan,66000,0.07200000000000001,1003,720,Active,No,55500
L00392,C20239,Education Loan,10000,0.0928,162,614,Active,Yes,5100
