account_id,customer_id,account_type,balance,branch_id,account_status,open_date
A10107,C24254,Savings,74844.25,B019,Active,2019-08-20
A10108,C22824,Fixed Deposit,49892.51,B001,Active,2024-07-14
A10109,C24277,Savings,53855.44,B009,Active,2025-09-01
A10110,C23248,Credit Card,-1625.49,B021,Active,2024-09-22
A10111,C24301,Savings,39257.96,B010,Active,2017-01-06
A10112,C08530,Savings,55616.5,B024,Active,2022-08-25
A10113,C17263,Checking,14576.26,B019,Active,2024-07-15
A10114,C09269,Credit Card,-6015.85,B020,Closed,2023-07-28
A10115,C21272,Credit Card,-8079.98,B007,Dormant,2017-01-17
A10116,C12186,Savings,23016.57,B006,Active,2018-07-16
A10117,C21244,Savings,11450.09,B009,Active,2024-04-12
A10118,C06332,Fixed Deposit,76461.46,B015,Dormant,2025-10-27
A10119,C08572,Credit Card,-1786.93,B009,Active,2024-02-26
A10120,C25069,Credit Card,-1477.02,B013,Active,2018-11-13
A10121,C07209,Savings,64665.8,B004,Dormant,2020-12-06
A10122,C05277,Credit Card,-10617.69,B021,Active,2020-12-28
A10123,C18447,Savings,67086.12,B025,Dormant,2020-12-02
A10124,C28461,Savings,12391.2,B021,Active,2025-06-09
A10125,C16449,Savings,64428.42,B006,Active,2016-04-07
A10126,C16217,Savings,20968.09,B021,Active,2020-07-04
A10127,C08007,Savings,49178.83,B006,Active,2024-02-21
A10128,C02569,Savings,56524.19,B006,Active,2026-05-05
A10129,C21848,Checking,2802.44,B020,Active,2025-03-25
A10130,C29825,Credit Card,-10662.37,B024,Dormant,2025-08-04
A10131,C02028,Loan Account,-75573.02,B012,Active,2022-10-19
A10132,C02696,Savings,45237.09,B003,Active,2017-08-10
A10133,C26072,Savings,66574.65,B018,Active,2017-08-21
A10134,C15423,Checking,22760.99,B019,Dormant,2024-04-22
A10135,C05259,Savings,15717.95,B007,Active,2018-04-03
A10136,C22003,Savings,58749.43,B003,Active,2021-08-19
A10137,C06737,Checking,33542.52,B005,Active,2021-02-15
A10138,C00392,Checking,22804.86,B012,Active,2017-08-04
A10139,C13987,Credit Card,-8011.99,B005,Dormant,2016-05-26
A10140,C29091,Loan Account,-39860.41,B002,Active,2023-08-12
A10141,C12667,Credit Card,-8150.24,B015,Active,2024-10-23
A10142,C05893,Savings,11777.92,B006,Dormant,2015-10-28
A10143,C03562,Credit Card,-13772.87,B013,Active,2025-08-13
A10144,C26855,Checking,13969.46,B004,Active,2017-08-31
A10145,C06185,Checking,24890.35,B023,Active,2017-10-28
A10146,C19484,Fixed Deposit,175336.69,B021,Active,2022-03-23
A10147,C22663,Credit Card,-7023.0,B009,Active,2021-07-16
A10148,C08393,Checking,15374.9,B023,Active,2025-09-01
A10149,C13068,Savings,49772.53,B021,Dormant,2026-02-14
A10150,C15266,Fixed Deposit,240190.15,B025,Active,2019-04-24
A10151,C19489,Credit Card,-10665.11,B002,Active,2016-04-20
A10152,C23600,Savings,42277.67,B009,Active,2021-12-25
A10153,C29175,Savings,63453.06,B019,Active,2016-05-15
A10154,C02455,Savings,19846.72,B006,Active,2022-11-25
A10155,C11838,Savings,19816.86,B006,Active,2020-09-20
A10156,C14040,Checking,30886.85,B017,Dormant,2019-07-13
A10157,C25381,Savings,72146.98,B019,Active,2023-04-03
A10158,C19116,Fixed Deposit,172752.59,B005,Closed,2018-09-18
A10159,C10966,Credit Card,-5331.99,B006,Active,2025-12-28
A10160,C24539,Savings,39724.78,B005,Active,2021-02-01
A10161,C09763,Savings,58706.98,B006,Active,2023-08-03
A10162,C05057,Savings,72426.75,B022,Active,2018-08-30
A10163,C14949,Savings,29048.8,B005,Active,2023-10-02
A10164,C08111,Savings,22264.31,B023,Active,2015-12-13
A10165,C13774,Checking,34070.06,B024,Active,2016-12-03
A10166,C27267,Fixed Deposit,129032.9,B014,Active,2016-06-16
A10167,C20225,Fixed Deposit,47675.81,B010,Active,2021-05-03
A10168,C17413,Credit Card,-1783.85,B004,Active,2015-08-08
A10169,C23770,Checking,3752.66,B017,Active,2021-10-23
A10170,C00503,Fixed Deposit,131936.44,B009,Dormant,2018-06-02
A10171,C06911,Checking,26579.7,B005,Active,2016-12-18
A10172,C12686,Savings,66003.6,B002,Active,2023-11-21
A10173,C25447,Checking,2964.21,B017,Active,2019-07-09
A10174,C23323,Fixed Deposit,171170.21,B021,Active,2021-05-26
A10175,C20873,Savings,60690.54,B002,Dormant,2018-10-14
A10176,C00207,Savings,46956.84,B016,Active,2024-09-19
A10177,C21519,Savings,19576.47,B020,Active,2017-07-06
A10178,C22362,Savings,51207.5,B001,Active,2018-07-14
A10179,C24106,Savings,67967.69,B020,Active,2017-05-25
A10180,C23420,Savings,69710.64,B009,Active,2020-10-02
A10181,C17869,Fixed Deposit,179367.89,B024,Active,2019-12-17
A10182,C24243,Fixed Deposit,60601.94,B022,Active,2022-04-03
A10183,C15935,Fixed Deposit,59076.52,B015,Dormant,2023-03-09
A10184,C17248,Savings,27630.76,B004,Closed,2025-10-09
A10185,C19175,Savings,14596.21,B010,Active,2021-03-10
A10186,C23793,Savings,18022.91,B006,Active,2021-02-05
A10187,C08756,Fixed Deposit,59277.96,B003,Dormant,2021-09-05
A10188,C21501,Savings,8028.65,B020,Closed,2024-06-28
A10189,C12384,Checking,18562.44,B024,Active,2019-06-01
A10190,C22404,Savings,21206.02,B002,Active,2022-11-19
A10191,C18142,Savings,74587.92,B024,Closed,2021-10-12
A10192,C14821,Savings,31740.45,B024,Active,2015-03-13
A10193,C07575,Credit Card,-5462.44,B020,Active,2025-04-02
A10194,C06375,Savings,71269.89,B022,Active,2020-07-01
A10195,C23277,Savings,59756.3,B011,Active,2015-10-03
A10196,C01679,Savings,61110.06,B022,Active,2023-10-08
A10197,C19627,Checking,32807.58,B008,Active,2023-03-02
A10198,C21021,Checking,29650.15,B025,Dormant,2018-09-27
A10199,C01060,Fixed Deposit,223737.45,B003,Active,2024-08-13
A10200,C23053,Savings,68430.21,B019,Active,2025-11-11
A10201,C29856,Savings,37295.43,B019,Active,2021-09-07
A10202,C16199,Checking,5686.7,B005,Active,2015-12-31
A10203,C09915,Checking,29120.41,B021,Active,2015-10-12
A10204,C27891,Credit Card,-2368.32,B017,Active,2016-10-04
A10205,C19542,Fixed Deposit,147320.2,B021,Active,2022-12-08
A10206,C22300,Credit Card,-3302.98,B015,Active,2020-02-23
A10207,C10818,Savings,68545.05,B024,Active,2024-09-12
A10208,C10922,Savings,40205.71,B022,Active,2018-10-06
A10209,C09790,Fixed Deposit,134516.24,B003,Dormant,2021-08-26
A10210,C16313,Savings,67929.02,B005,Active,2021-07-24
A10211,C11253,Credit Card,-6835.7,B025,Active,2015-12-31
A10212,C02694,Loan Account,-37926.11,B017,Active,2017-06-05
A10213,C29468,Checking,29097.9,B017,Active,2024-01-26
A10214,C29724,Checking,11228.32,B008,Active,2025-10-12
A10215,C13932,Checking,34913.63,B017,Dormant,2024-01-25
A10216,C03628,Savings,63062.37,B014,Active,2018-01-18
A10217,C25940,Checking,25712.34,B025,Active,2022-03-14
A10218,C16158,Savings,29265.16,B011,Dormant,2024-06-19
A10219,C10174,Savings,12909.38,B014,Dormant,2023-10-11
A10220,C21835,Checking,11995.97,B002,Active,2025-05-21
A10221,C18048,Checking,3223.95,B003,Active,2017-06-23
A10222,C26106,Credit Card,-2006.26,B006,Active,2021-08-10
A10223,C10231,Fixed Deposit,192411.12,B009,Active,2023-07-03
A10224,C15708,Savings,18382.51,B010,Active,2022-06-06
A10225,C21977,Credit Card,-11956.22,B004,Active,2017-12-03
A10226,C11495,Savings,19096.16,B014,Active,2019-07-06
A10227,C26814,Checking,14666.05,B002,Active,2020-02-29
A10228,C23777,Fixed Deposit,124739.25,B007,Active,2017-05-24
A10229,C01307,Savings,6686.46,B002,Active,2019-10-21
A10230,C28606,Checking,2766.82,B021,Active,2026-02-18
A10231,C06777,Checking,12285.57,B005,Closed,2016-10-10
A10232,C27252,Credit Card,-5540.49,B002,Active,2026-05-02
A10233,C29645,Checking,23953.82,B005,Active,2021-11-25
A10234,C22249,Credit Card,-4822.53,B019,Active,2021-11-23
A10235,C09475,Savings,39370.07,B015,Dormant,2023-01-02
A10236,C07527,Credit Card,-638.51,B019,Dormant,2019-03-18
A10237,C25286,Checking,26519.2,B007,Active,2026-04-11
A10238,C21960,Checking,17097.34,B018,Active,2018-09-25
A10239,C05531,Savings,35200.18,B008,Active,2023-12-18
A10240,C29321,Savings,40742.44,B023,Active,2022-01-24
A10241,C20798,Savings,25969.98,B021,Active,2016-02-11
A10242,C03749,Savings,67455.24,B018,Active,2017-08-28
A10243,C13546,Savings,39083.58,B017,Active,2018-10-30
A10244,C29356,Credit Card,-5304.84,B024,Active,2015-05-10
A10245,C00664,Fixed Deposit,58380.19,B020,Active,2025-12-25
A10246,C01999,Credit Card,-10999.05,B011,Active,2020-02-21
A10247,C07995,Credit Card,-1028.79,B009,Active,2018-11-01
A10248,C28022,Savings,4459.82,B011,Active,2018-11-27
A10249,C28320,Checking,12002.42,B009,Active,2025-02-14
A10250,C17880,Fixed Deposit,126445.92,B002,Active,2024-10-12
A10251,C03305,Credit Card,-9995.64,B016,Active,2018-01-26
A10252,C20148,Savings,27876.68,B005,Active,2022-02-17
A10253,C21617,Checking,34939.58,B022,Active,2017-08-10
A10254,C18238,Savings,43833.01,B024,Active,2020-01-18
A10255,C13809,Savings,39146.93,B015,Dormant,2022-02-03
A10256,C06586,Savings,32013.11,B001,Active,2020-05-26
A10257,C29236,Fixed Deposit,195410.68,B019,Active,2016-04-23
A10258,C17676,Checking,25321.43,B018,Active,2024-11-01
A10259,C19966,Savings,48496.95,B015,Dormant,2015-11-21
A10260,C11650,Checking,6200.51,B010,Active,2017-05-28
A10261,C23939,Credit Card,-13218.06,B018,Active,2020-01-17
A10262,C23665,Savings,37099.55,B019,Active,2024-06-12
A10263,C01637,Checking,27993.29,B018,Active,2015-02-16
A10264,C20081,Savings,5705.06,B016,Active,2015-03-30
A10265,C27576,Checking,31425.48,B024,Active,2021-06-16
A10266,C27729,Savings,63804.43,B009,Active,2026-06-10
A10267,C17083,Fixed Deposit,55462.28,B016,Active,2023-08-01
A10268,C26737,Savings,31164.33,B004,Active,2024-02-15
A10269,C28674,Savings,5104.61,B013,Active,2016-10-30
A10270,C04738,Savings,3940.34,B012,Active,2015-12-14
A10271,C14556,Checking,14630.79,B010,Closed,2019-03-08
A10272,C13878,Credit Card,-10097.62,B005,Active,2015-08-01
A10273,C00855,Savings,60535.02,B018,Active,2017-05-15
A10274,C24549,Savings,20810.45,B009,Active,2023-04-10
A10275,C05856,Credit Card,-3283.74,B015,Active,2023-12-23
A10276,C07393,Credit Card,-10420.93,B012,Active,2024-01-18
A10277,C22913,Credit Card,-6705.94,B002,Active,2017-11-02
A10278,C28051,Checking,29912.85,B024,Active,2022-11-13
A10279,C13950,Credit Card,-12543.04,B006,Active,2017-05-24
A10280,C21634,Savings,26526.93,B023,Dormant,2018-11-07
A10281,C21557,Checking,25401.03,B006,Active,2025-04-01
A10282,C18092,Credit Card,-11855.92,B020,Dormant,2017-01-13
A10283,C27354,Savings,5700.3,B002,Active,2022-10-03
A10284,C05792,Savings,73436.81,B004,Active,2019-06-24
A10285,C26310,Credit Card,-9807.0,B005,Active,2020-12-28
A10286,C21920,Checking,30763.32,B024,Closed,2017-03-17
A10287,C04932,Checking,7797.74,B016,Active,2018-08-02
A10288,C19895,Savings,39985.5,B015,Closed,2017-04-26
A10289,C00203,Savings,65163.76,B016,Active,2024-11-02
A10290,C11448,Savings,5118.28,B003,Active,2024-06-30
A10291,C20603,Fixed Deposit,189692.64,B021,Active,2025-04-21
A10292,C12689,Fixed Deposit,37497.88,B003,Active,2019-02-27
A10293,C25343,Savings,17496.29,B010,Active,2016-06-17
A10294,C04390,Savings,26970.37,B006,Active,2021-03-22
A10295,C02328,Savings,22536.36,B015,Active,2015-08-20
A10296,C08005,Savings,28322.51,B004,Dormant,2022-03-23
A10297,C19316,Savings,52300.68,B021,Active,2021-07-31
A10298,C07778,Savings,18663.56,B007,Active,2020-12-14
A10299,C00198,Credit Card,-5802.29,B006,Active,2015-06-02
A10300,C23510,Credit Card,-6075.7,B012,Active,2021-01-30
A10301,C01931,Savings,18553.8,B018,Active,2020-01-28
A10302,C11775,Checking,2881.69,B012,Dormant,2020-11-13
A10303,C15088,Checking,8857.43,B012,Active,2015-12-14
A10304,C22672,Savings,48916.53,B011,Closed,2025-02-17
A10305,C25185,Credit Card,-11182.09,B025,Dormant,2024-10-30
A10306,C27849,Savings,16360.44,B022,Active,2026-01-06
A10307,C09340,Savings,70297.71,B014,Dormant,2015-01-22
A10308,C20667,Savings,71913.78,B020,Active,2017-01-27
A10309,C11590,Fixed Deposit,102865.12,B017,Active,2025-05-24
A10310,C18896,Checking,27225.18,B007,Active,2022-03-17
A10311,C15709,Savings,5845.46,B019,Active,2018-10-28
A10312,C26371,Credit Card,-1429.9,B018,Active,2020-02-08
A10313,C17044,Savings,26266.84,B007,Active,2019-04-18
A10314,C02812,Fixed Deposit,192665.39,B020,Active,2016-12-25
A10315,C23483,Checking,22987.37,B022,Dormant,2021-09-29
A10316,C14244,Checking,14164.5,B015,Active,2015-08-23
A10317,C06547,Credit Card,-13849.76,B012,Active,2019-05-03
A10318,C25946,Checking,21582.39,B010,Active,2024-05-11
A10319,C01987,Fixed Deposit,22631.93,B021,Active,2022-06-06
A10320,C08339,Credit Card,-609.69,B022,Active,2026-06-06
A10321,C11412,Savings,32448.14,B006,Active,2025-06-13
A10322,C02912,Savings,22181.1,B019,Active,2021-04-18
A10323,C01735,Savings,16017.58,B002,Active,2016-02-07
A10324,C18228,Savings,6044.3,B009,Active,2020-10-10
A10325,C08681,Savings,53259.57,B018,Active,2021-01-19
A10326,C19361,Savings,74299.4,B011,Active,2025-10-04
A10327,C18344,Savings,34701.78,B016,Dormant,2016-01-26
A10328,C05760,Credit Card,-4430.38,B004,Active,2022-04-26
A10329,C23079,Credit Card,-7733.22,B006,Active,2025-03-31
A10330,C02386,Savings,30647.99,B012,Closed,2022-09-29
A10331,C11112,Savings,27518.62,B005,Active,2015-02-05
A10332,C04737,Savings,67173.49,B008,Active,2025-07-02
A10333,C01803,Fixed Deposit,191288.81,B025,Active,2021-10-03
A10334,C08156,Checking,30072.51,B009,Active,2016-09-12
A10335,C08121,Loan Account,-180889.13,B015,Dormant,2022-09-24
A10336,C06617,Fixed Deposit,93731.23,B018,Active,2024-04-24
A10337,C14258,Fixed Deposit,56112.69,B024,Active,2016-12-12
A10338,C14487,Savings,13257.2,B020,Dormant,2015-05-18
A10339,C21919,Checking,30874.5,B013,Active,2019-04-03
A10340,C20446,Loan Account,-23960.35,B002,Active,2024-04-03
A10341,C27946,Savings,43107.05,B008,Active,2019-09-27
A10342,C16647,Checking,9150.01,B019,Active,2022-03-12
A10343,C14076,Savings,73126.16,B003,Active,2023-05-24
A10344,C22672,Savings,8683.1,B016,Active,2018-12-16
A10345,C25200,Fixed Deposit,195289.12,B016,Active,2020-08-29
A10346,C09209,Checking,11579.58,B004,Active,2018-09-30
A10347,C16372,Credit Card,-8959.27,B022,Dormant,2024-09-12
A10348,C11836,Checking,28047.89,B018,Active,2024-10-01
A10349,C13169,Checking,1363.99,B020,Active,2019-05-10
A10350,C02050,Credit Card,-7970.4,B006,Active,2017-05-14
A10351,C05424,Loan Account,-118829.81,B011,Dormant,2020-02-20
A10352,C14590,Loan Account,-148060.09,B001,Active,2018-05-15
A10353,C28300,Credit Card,-548.97,B005,Active,2017-12-07
A10354,C20933,Checking,17459.24,B023,Active,2025-04-20
A10355,C19493,Savings,32879.97,B025,Active,2025-08-03
A10356,C29856,Savings,51860.14,B002,Active,2024-08-19
A10357,C28667,Savings,55892.03,B007,Active,2026-03-16
A10358,C07159,Savings,20058.61,B025,Active,2022-09-26
A10359,C10249,Savings,23082.32,B019,Active,2022-08-16
A10360,C07401,Savings,3326.96,B001,Active,2016-09-22
A10361,C19555,Savings,74393.56,B022,Active,2025-04-18
A10362,C09875,Checking,107.39,B017,Active,2015-12-15
A10363,C15152,Savings,36255.33,B016,Active,2024-07-31
A10364,C18640,Credit Card,-8327.0,B024,Active,2024-06-27
A10365,C01155,Savings,60447.33,B008,Active,2019-01-10
A10366,C04500,Checking,2520.75,B009,Active,2021-06-23
A10367,C06296,Fixed Deposit,81318.8,B003,Active,2024-11-12
A10368,C22582,Savings,54306.53,B009,Active,2025-08-04
A10369,C27768,Loan Account,-6081.92,B023,Dormant,2026-04-29
A10370,C26273,Checking,34866.61,B023,Active,2025-08-02
A10371,C12184,Savings,13912.45,B014,Active,2016-11-29
A10372,C29300,Savings,5834.57,B001,Active,2015-05-15
A10373,C12875,Fixed Deposit,125552.65,B008,Dormant,2015-09-07
A10374,C18033,Checking,1336.93,B016,Active,2015-06-24
A10375,C05540,Savings,35491.66,B025,Active,2016-03-16
A10376,C09638,Fixed Deposit,236463.69,B003,Active,2019-12-05
A10377,C20584,Credit Card,-2368.84,B011,Active,2021-03-19
A10378,C28500,Credit Card,-14311.13,B011,Closed,2015-09-29
A10379,C24830,Fixed Deposit,10417.91,B023,Active,2015-04-10
A10380,C15587,Credit Card,-8710.94,B015,Dormant,2017-11-10
A10381,C27760,Savings,8748.31,B001,Active,2017-06-15
A10382,C02558,Checking,13016.43,B009,Active,2025-12-07
A10383,C05593,Credit Card,-4527.14,B012,Active,2023-12-25
A10384,C16483,Savings,25510.79,B011,Active,2021-05-07
A10385,C02201,Savings,27693.3,B022,Dormant,2023-12-02
A10386,C14173,Savings,6435.96,B024,Active,2018-07-17
A10387,C02962,Savings,67851.44,B012,Active,2023-04-28
A10388,C14208,Savings,62059.21,B007,Active,2016-09-19
A10389,C21358,Credit Card,-9347.85,B010,Active,2016-08-30
A10390,C20818,Credit Card,-6644.04,B005,Active,2022-05-05
A10391,C11970,Savings,37238.4,B015,Active,2017-05-19
A10392,C02870,Credit Card,-11761.22,B001,Active,2024-07-01
A10393,C27811,Checking,8144.64,B016,Active,2015-12-07
A10394,C28368,Savings,37707.88,B002,Active,2020-07-31
A10395,C17341,Savings,32053.43,B012,Dormant,2018-09-27
A10396,C13993,Savings,30738.48,B004,Active,2015-09-11
A10397,C28644,Credit Card,-2438.94,B025,Active,2016-01-20
A10398,C24737,Savings,2246.35,B024,Active,2024-08-23
A10399,C05700,Savings,72106.62,B002,Active,2016-12-02
A10400,C23329,Savings,59476.57,B003,Active,2022-07-14
A10401,C20878,Fixed Deposit,224244.49,B020,Active,2025-07-07
A10402,C25877,Credit Card,-5282.79,B008,Active,2024-03-24
A10403,C21296,Checking,10010.1,B004,Active,2025-08-09
A10404,C03988,Fixed Deposit,132781.06,B017,Active,2021-11-28
A10405,C26104,Savings,33740.68,B021,Active,2016-06-23
A10406,C22400,Checking,6280.09,B005,Active,2024-03-17
A10407,C13447,Savings,73367.05,B011,Active,2015-01-07
A10408,C01219,Savings,23008.68,B010,Active,2015-08-19
A10409,C20881,Credit Card,-14373.42,B022,Active,2018-03-20
A10410,C04736,Credit Card,-7672.11,B022,Active,2017-10-21
A10411,C11297,Savings,8500.56,B012,Active,2020-03-18
A10412,C27312,Savings,62159.27,B003,Closed,2020-06-28
A10413,C04556,Savings,2962.55,B009,Closed,2020-06-08
A10414,C09147,Credit Card,-14233.94,B019,Active,2020-06-15
A10415,C08051,Savings,59372.83,B021,Active,2018-03-08
A10416,C12758,Checking,4533.8,B005,Active,2024-06-21
A10417,C19831,Fixed Deposit,143026.29,B015,Closed,2019-11-15
A10418,C17430,Savings,47044.39,B012,Active,2019-11-10
A10419,C06894,Fixed Deposit,248795.76,B004,Dormant,2015-09-09
A10420,C18078,Savings,19450.1,B015,Active,2015-09-01
A10421,C14374,Checking,10425.29,B007,Active,2017-06-08
A10422,C14566,Credit Card,-14011.57,B003,Active,2015-02-20
A10423,C03437,Savings,4248.79,B007,Active,2023-11-26
A10424,C08755,Savings,31002.08,B013,Active,2019-02-10
A10425,C10678,Fixed Deposit,166385.76,B004,Active,2015-10-31
A10426,C05896,Savings,49826.46,B001,Active,2020-07-24
A10427,C19739,Checking,27207.91,B005,Active,2022-07-17
A10428,C16610,Savings,40713.29,B010,Active,2021-10-22
A10429,C15637,Checking,27786.7,B003,Active,2020-10-05
A10430,C21278,Checking,6395.54,B004,Active,2019-02-11
A10431,C07023,Checking,22231.73,B015,Active,2019-09-10
A10432,C09152,Savings,58482.62,B023,Active,2024-05-09
A10433,C05601,Checking,20027.12,B001,Active,2025-07-22
A10434,C29125,Savings,54423.54,B009,Active,2024-06-19
A10435,C27644,Savings,11050.51,B013,Active,2026-02-01
A10436,C07997,Checking,15561.4,B001,Active,2022-07-01
A10437,C09008,Checking,29811.43,B025,Dormant,2017-12-01
A10438,C12947,Savings,24183.14,B011,Dormant,2016-06-15
A10439,C24068,Checking,31473.59,B002,Active,2021-07-14
A10440,C04643,Checking,34581.57,B023,Active,2024-05-21
A10441,C29888,Savings,10887.0,B001,Active,2018-07-03
A10442,C11313,Checking,5252.92,B023,Closed,2024-12-13
